file_log,waktu_dijalankan,waktu_selesai,selesai,status_eksekusi,status_log_asli,mode_siklus,durasi_detik,total_jarak_mm,jumlah_segmen_tercatat,jumlah_segmen_selesai,jumlah_segmen_tidak_selesai,status_segmen,indeks_segmen_tidak_selesai,data_error,detail_error_catatan
run_cycle_off_stopped_partial_20260827_133237_009048.csv,2026-08-27T13:32:37.009,2026-08-27T13:34:57.185,Tidak,Tidak selesai / dihentikan,stopped_partial,off,140.189643,4692.945672,30,29,1,done | queued_or_interrupted,30,Tidak,stopped_partial; 1 segmen belum selesai (segmen 30)
run_cycle_off_error_partial_20260827_133546_879215.csv,2026-08-27T13:35:46.879,2026-08-27T13:37:50.286,Tidak,Tidak selesai / error,error_partial,off,123.408852,4075.959212,25,24,1,done | queued_or_interrupted,25,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_completed_20260827_133959_151143.csv,2026-08-27T13:39:59.151,2026-08-27T13:42:36.992,Ya,Selesai,completed,off,157.845143,5868.676416,36,36,0,done,,Tidak,
run_cycle_off_completed_20260827_134345_913568.csv,2026-08-27T13:43:45.913,2026-08-27T13:46:28.678,Ya,Selesai,completed,off,162.76591,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_error_partial_20260827_134738_475942.csv,2026-08-27T13:47:38.475,2026-08-27T13:47:54.670,Tidak,Tidak selesai / error,error_partial,off,16.189502,639.092721,4,3,1,done | queued_or_interrupted,4,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_completed_20260827_134854_345706.csv,2026-08-27T13:48:54.345,2026-08-27T13:51:29.681,Ya,Selesai,completed,off,155.336381,5868.676416,36,36,0,done,,Tidak,
run_cycle_off_completed_20260827_135223_457017.csv,2026-08-27T13:52:23.457,2026-08-27T13:55:00.534,Ya,Selesai,completed,off,157.078511,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_stopped_partial_20260827_135541_589435.csv,2026-08-27T13:55:41.589,2026-08-27T13:58:21.243,Tidak,Tidak selesai / dihentikan,stopped_partial,off,159.652039,5818.46213,34,33,1,done | queued_or_interrupted,34,Tidak,stopped_partial; 1 segmen belum selesai (segmen 34)
run_cycle_off_stopped_partial_20260827_150059_319438.csv,2026-08-27T15:00:59.319,2026-08-27T15:01:32.305,Tidak,Tidak selesai / dihentikan,stopped_partial,off,32.987457,554.549367,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_stopped_partial_20260827_151854_999693.csv,2026-08-27T15:18:54.999,2026-08-27T15:18:59.057,Tidak,Tidak selesai / dihentikan,stopped_partial,off,4.066474,554.549467,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_completed_20260827_151909_554416.csv,2026-08-27T15:19:09.554,2026-08-27T15:19:40.478,Ya,Selesai,completed,off,30.930342,554.549367,1,1,0,done,,Tidak,
run_cycle_off_error_partial_20260827_152104_499791.csv,2026-08-27T15:21:04.499,2026-08-27T15:21:06.294,Tidak,Tidak selesai / error,error_partial,off,1.808098,190,1,0,1,queued_or_interrupted,1,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_completed_20260827_152113_732195.csv,2026-08-27T15:21:13.732,2026-08-27T15:24:19.252,Ya,Selesai,completed,off,185.533764,5868.676416,36,36,0,done,,Tidak,
run_cycle_off_stopped_partial_20260827_154829_642119.csv,2026-08-27T15:48:29.642,2026-08-27T15:49:42.398,Tidak,Tidak selesai / dihentikan,stopped_partial,off,72.763467,2521.791343,16,15,1,done | queued_or_interrupted,16,Tidak,stopped_partial; 1 segmen belum selesai (segmen 16)
run_cycle_off_completed_20260827_155043_072087.csv,2026-08-27T15:50:43.072,2026-08-27T15:53:54.494,Ya,Selesai,completed,off,191.426377,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_error_partial_20260828_124651_901034.csv,2026-08-28T12:46:51.901,2026-08-28T12:46:52.808,Tidak,Tidak selesai / error,error_partial,off,0.907435,0,1,0,1,no_segment_sent,0,Ya,error_partial; tidak ada segmen yang dikirim (no_segment_sent)
run_cycle_off_completed_20260828_124658_496783.csv,2026-08-28T12:46:58.496,2026-08-28T12:50:18.080,Ya,Selesai,completed,off,199.583085,5868.46213,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_125719_756032.csv,2026-08-28T12:57:19.756,2026-08-28T13:00:09.989,Ya,Selesai,completed,off,170.233368,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_stopped_partial_20260828_130243_529636.csv,2026-08-28T13:02:43.529,2026-08-28T13:04:09.624,Tidak,Tidak selesai / dihentikan,stopped_partial,off,86.093484,2546.9342,17,16,1,done | queued_or_interrupted,17,Tidak,stopped_partial; 1 segmen belum selesai (segmen 17)
run_cycle_off_stopped_partial_20260828_130621_786409.csv,2026-08-28T13:06:21.786,2026-08-28T13:06:48.220,Tidak,Tidak selesai / dihentikan,stopped_partial,off,26.444135,639.021292,4,3,1,done | queued_or_interrupted,4,Tidak,stopped_partial; 1 segmen belum selesai (segmen 4)
run_cycle_off_stopped_partial_20260828_130745_503808.csv,2026-08-28T13:07:45.503,2026-08-28T13:07:53.359,Tidak,Tidak selesai / dihentikan,stopped_partial,off,7.870164,2050.980166,14,14,0,done,,Tidak,"stopped_partial; semua segmen yang tercatat berstatus done, tetapi run tidak berstatus completed"
run_cycle_off_stopped_partial_20260828_133405_576478.csv,2026-08-28T13:34:05.576,2026-08-28T13:34:39.078,Tidak,Tidak selesai / dihentikan,stopped_partial,off,33.503895,1088.256871,7,6,1,done | queued_or_interrupted,7,Tidak,stopped_partial; 1 segmen belum selesai (segmen 7)
run_cycle_off_completed_20260828_133535_602934.csv,2026-08-28T13:35:35.602,2026-08-28T13:38:28.824,Ya,Selesai,completed,off,173.220564,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_133913_595556.csv,2026-08-28T13:39:13.595,2026-08-28T13:42:03.824,Ya,Selesai,completed,off,170.226727,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_134257_862414.csv,2026-08-28T13:42:57.862,2026-08-28T13:45:57.081,Ya,Selesai,completed,off,179.221405,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_134654_435685.csv,2026-08-28T13:46:54.435,2026-08-28T13:49:46.800,Ya,Selesai,completed,off,172.363232,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_135035_624141.csv,2026-08-28T13:50:35.624,2026-08-28T13:53:33.643,Ya,Selesai,completed,off,178.024466,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_135430_815618.csv,2026-08-28T13:54:30.815,2026-08-28T13:57:23.655,Ya,Selesai,completed,off,172.835423,5868.604987,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_135814_183729.csv,2026-08-28T13:58:14.183,2026-08-28T14:01:05.141,Ya,Selesai,completed,off,170.954289,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_140203_044101.csv,2026-08-28T14:02:03.044,2026-08-28T14:04:53.375,Ya,Selesai,completed,off,170.34411,5868.819273,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_140555_073925.csv,2026-08-28T14:05:55.073,2026-08-28T14:08:46.024,Ya,Selesai,completed,off,170.953433,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_stopped_partial_20260828_140948_908537.csv,2026-08-28T14:09:48.908,2026-08-28T14:11:42.023,Tidak,Tidak selesai / dihentikan,stopped_partial,off,113.117325,3546.923723,22,21,1,done | queued_or_interrupted,22,Tidak,stopped_partial; 1 segmen belum selesai (segmen 22)
run_cycle_off_completed_20260828_142024_754016.csv,2026-08-28T14:20:24.754,2026-08-28T14:23:24.235,Ya,Selesai,completed,off,179.481859,5869.104987,36,36,0,done,,Tidak,
run_cycle_off_error_partial_20260828_142414_544609.csv,2026-08-28T14:24:14.544,2026-08-28T14:24:45.846,Tidak,Tidak selesai / error,error_partial,off,31.303967,1088.185442,7,6,1,done | queued_or_interrupted,7,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_completed_20260828_142518_681940.csv,2026-08-28T14:25:18.681,2026-08-28T14:28:06.587,Ya,Selesai,completed,off,167.914408,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_error_partial_20260828_142847_675262.csv,2026-08-28T14:28:47.675,2026-08-28T14:30:51.349,Tidak,Tidak selesai / error,error_partial,off,123.675759,4075.959212,25,24,1,done | queued_or_interrupted,25,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_completed_20260828_143149_505552.csv,2026-08-28T14:31:49.505,2026-08-28T14:34:39.957,Ya,Selesai,completed,off,170.461033,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_143525_771227.csv,2026-08-28T14:35:25.771,2026-08-28T14:38:12.715,Ya,Selesai,completed,off,166.949704,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_error_partial_20260828_143850_012068.csv,2026-08-28T14:38:50.012,2026-08-28T14:40:27.185,Tidak,Tidak selesai / error,error_partial,off,97.181978,3546.923723,22,21,1,done | queued_or_interrupted,22,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_stopped_partial_20260828_144258_424296.csv,2026-08-28T14:42:58.424,2026-08-28T14:45:40.433,Tidak,Tidak selesai / dihentikan,stopped_partial,off,162.010867,5818.747844,34,33,1,done | queued_or_interrupted,34,Tidak,stopped_partial; 1 segmen belum selesai (segmen 34)
run_cycle_off_stopped_partial_20260828_144918_254573.csv,2026-08-28T14:49:18.254,2026-08-28T14:49:28.734,Tidak,Tidak selesai / dihentikan,stopped_partial,off,10.487775,639.092721,4,3,1,done | queued_or_interrupted,4,Tidak,stopped_partial; 1 segmen belum selesai (segmen 4)
run_cycle_off_completed_20260828_145001_058705.csv,2026-08-28T14:50:01.058,2026-08-28T14:53:13.784,Ya,Selesai,completed,off,192.726173,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_stopped_partial_20260828_145536_373026.csv,2026-08-28T14:55:36.373,2026-08-28T14:56:19.736,Tidak,Tidak selesai / dihentikan,stopped_partial,off,43.365006,639.092721,4,3,1,done | queued_or_interrupted,4,Tidak,stopped_partial; 1 segmen belum selesai (segmen 4)
run_cycle_off_stopped_partial_20260828_145805_813865.csv,2026-08-28T14:58:05.813,2026-08-28T14:58:33.312,Tidak,Tidak selesai / dihentikan,stopped_partial,off,27.504176,1088.185442,7,6,1,done | queued_or_interrupted,7,Tidak,stopped_partial; 1 segmen belum selesai (segmen 7)
run_cycle_off_error_partial_20260828_145856_549991.csv,2026-08-28T14:58:56.549,2026-08-28T14:59:08.325,Tidak,Tidak selesai / error,error_partial,off,11.775656,639.092721,4,3,1,done | queued_or_interrupted,4,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_error_partial_20260828_145945_504960.csv,2026-08-28T14:59:45.504,2026-08-28T15:00:26.540,Tidak,Tidak selesai / error,error_partial,off,41.037366,1557.082804,10,9,1,done | queued_or_interrupted,10,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_completed_20260828_150334_842586.csv,2026-08-28T15:03:34.842,2026-08-28T15:06:26.121,Ya,Selesai,completed,off,171.276073,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_error_partial_20260828_150711_789047.csv,2026-08-28T15:07:11.789,2026-08-28T15:09:47.691,Tidak,Tidak selesai / error,error_partial,off,155.901645,5818.747844,34,33,1,done | queued_or_interrupted,34,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_completed_20260828_151149_667419.csv,2026-08-28T15:11:49.667,2026-08-28T15:14:46.058,Ya,Selesai,completed,off,176.396388,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_151523_667382.csv,2026-08-28T15:15:23.667,2026-08-28T15:18:15.922,Ya,Selesai,completed,off,172.254951,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_error_partial_20260828_151855_856356.csv,2026-08-28T15:18:55.856,2026-08-28T15:20:04.405,Tidak,Tidak selesai / error,error_partial,off,68.547163,2521.9342,16,15,1,done | queued_or_interrupted,16,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_error_partial_20260828_152113_288763.csv,2026-08-28T15:21:13.288,2026-08-28T15:21:13.554,Tidak,Tidak selesai / error,error_partial,off,0.265607,0,1,0,1,no_segment_sent,0,Ya,error_partial; tidak ada segmen yang dikirim (no_segment_sent)
run_cycle_off_completed_20260828_152120_707724.csv,2026-08-28T15:21:20.707,2026-08-28T15:24:17.267,Ya,Selesai,completed,off,176.560417,5868.819273,36,36,0,done,,Tidak,
run_cycle_off_error_partial_20260828_152515_386566.csv,2026-08-28T15:25:15.386,2026-08-28T15:26:53.611,Tidak,Tidak selesai / error,error_partial,off,98.222191,3546.780866,22,21,1,done | queued_or_interrupted,22,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_stopped_partial_20260828_152740_971540.csv,2026-08-28T15:27:40.971,2026-08-28T15:27:57.273,,Tidak selesai / dihentikan,stopped_partial,off,16.303116,639.092721,4,3,1,done | queued_or_interrupted,4,Tidak,stopped_partial; 1 segmen belum selesai (segmen 4)
run_cycle_off_stopped_partial_20260828_152954_661062.csv,2026-08-28T15:29:54.661,2026-08-28T15:30:00.494,,Tidak selesai / dihentikan,stopped_partial,off,5.831112,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_completed_20260828_153013_969547.csv,2026-08-28T15:30:13.969,2026-08-28T15:33:14.937,Ya,Selesai,completed,off,180.979489,5868.747844,36,36,0,done,,Tidak,
run_cycle_off_completed_20260828_153428_550184.csv,2026-08-28T15:34:28.550,2026-08-28T15:37:27.546,Ya,Selesai,completed,off,178.994115,5868.604987,36,36,0,done,,Tidak,
run_cycle_off_error_partial_20260828_153821_827451.csv,2026-08-28T15:38:21.827,2026-08-28T15:38:22.163,,Tidak selesai / error,error_partial,off,0.334277,0,1,0,1,no_segment_sent,0,Ya,error_partial; tidak ada segmen yang dikirim (no_segment_sent)
run_cycle_off_completed_20260828_153826_273645.csv,2026-08-28T15:38:26.273,2026-08-28T15:41:18.612,Ya,Selesai,completed,off,172.346347,5868.604987,36,36,0,done,,Tidak,
run_cycle_off_error_partial_20260828_154224_556219.csv,2026-08-28T15:42:24.556,2026-08-28T15:42:27.233,,Tidak selesai / error,error_partial,off,2.67863,190,1,0,1,queued_or_interrupted,1,Ya,error_partial; 1 segmen queued_or_interrupted
run_cycle_off_completed_20260828_154231_410839.csv,2026-08-28T15:42:31.410,2026-08-28T15:45:24.505,Ya,Selesai,completed,off,173.097657,5868.747844,36,36,0,done,,Tidak,
