run_started_at,run_finished_at,run_status,cycle_mode,total_time_s,total_distance_mm,segment_index,queued_at,done_at,segment_status,pass_label,mode,action_label,start_x_mm,start_y_mm,start_z_mm,end_x_mm,end_y_mm,end_z_mm,dx_mm,dy_mm,dz_mm,distance_mm,arc_center_x_mm,arc_center_y_mm,arc_sweep_deg
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,1,2026-08-27T10:05:35.674,2026-08-27T10:05:39.918,done,awal,LINE,,0.000000,0.000000,0.000000,0.000000,0.000000,190.000000,0.000000,0.000000,190.000000,190.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,2,2026-08-27T10:05:40.167,2026-08-27T10:05:41.034,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,3,2026-08-27T10:05:42.463,2026-08-27T10:05:43.655,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,4,2026-08-27T10:05:43.670,2026-08-27T10:05:55.980,done,awal,LINE,,0.000000,0.000000,190.000000,385.000000,105.000000,185.000000,385.000000,105.000000,-5.000000,399.092721,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,5,2026-08-27T10:05:56.176,2026-08-27T10:05:57.034,done,awal,ACTION_GOTO,DOWN,385.000000,105.000000,185.000000,385.000000,105.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,6,2026-08-27T10:05:58.044,2026-08-27T10:05:59.034,done,awal,ACTION_GOTO,UP,385.000000,105.000000,210.000000,385.000000,105.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,7,2026-08-27T10:05:59.034,2026-08-27T10:06:06.125,done,awal,LINE,,385.000000,105.000000,185.000000,0.000000,0.000000,190.000000,-385.000000,-105.000000,5.000000,399.092721,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,8,2026-08-27T10:06:06.315,2026-08-27T10:06:07.167,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,9,2026-08-27T10:06:08.194,2026-08-27T10:06:09.228,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,10,2026-08-27T10:06:09.242,2026-08-27T10:06:21.036,done,awal,LINE,,0.000000,0.000000,190.000000,385.000000,165.000000,185.000000,385.000000,165.000000,-5.000000,418.897362,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,11,2026-08-27T10:06:21.243,2026-08-27T10:06:22.127,done,awal,ACTION_GOTO,DOWN,385.000000,165.000000,185.000000,385.000000,165.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,12,2026-08-27T10:06:23.132,2026-08-27T10:06:24.169,done,awal,ACTION_GOTO,UP,385.000000,165.000000,210.000000,385.000000,165.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,13,2026-08-27T10:06:24.313,2026-08-27T10:06:33.486,done,awal,LINE,,385.000000,165.000000,185.000000,0.000000,0.000000,190.000000,-385.000000,-165.000000,5.000000,418.897362,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,14,2026-08-27T10:06:33.662,2026-08-27T10:06:34.510,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,15,2026-08-27T10:06:35.548,2026-08-27T10:06:36.658,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,16,2026-08-27T10:06:36.664,2026-08-27T10:06:49.466,done,awal,LINE,,0.000000,0.000000,190.000000,385.000000,225.000000,185.000000,385.000000,225.000000,-5.000000,445.954034,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,17,2026-08-27T10:06:49.731,2026-08-27T10:06:50.629,done,awal,ACTION_GOTO,DOWN,385.000000,225.000000,185.000000,385.000000,225.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,18,2026-08-27T10:06:51.643,2026-08-27T10:06:52.768,done,awal,ACTION_GOTO,UP,385.000000,225.000000,210.000000,385.000000,225.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,19,2026-08-27T10:06:52.780,2026-08-27T10:07:00.241,done,awal,LINE,,385.000000,225.000000,185.000000,0.000000,0.000000,190.000000,-385.000000,-225.000000,5.000000,445.954034,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,20,2026-08-27T10:07:00.866,2026-08-27T10:07:01.751,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,21,2026-08-27T10:07:02.772,2026-08-27T10:07:03.755,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,22,2026-08-27T10:07:03.762,2026-08-27T10:07:16.193,done,awal,LINE,,0.000000,0.000000,190.000000,385.000000,285.000000,185.000000,385.000000,285.000000,-5.000000,479.035489,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,23,2026-08-27T10:07:16.397,2026-08-27T10:07:17.427,done,awal,ACTION_GOTO,DOWN,385.000000,285.000000,185.000000,385.000000,285.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,24,2026-08-27T10:07:18.425,2026-08-27T10:07:19.393,done,awal,ACTION_GOTO,UP,385.000000,285.000000,210.000000,385.000000,285.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,25,2026-08-27T10:07:19.393,2026-08-27T10:07:26.543,done,awal,LINE,,385.000000,285.000000,185.000000,0.000000,0.000000,190.000000,-385.000000,-285.000000,5.000000,479.035489,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,26,2026-08-27T10:07:26.675,2026-08-27T10:07:27.602,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,27,2026-08-27T10:07:28.626,2026-08-27T10:07:29.615,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,28,2026-08-27T10:07:29.629,2026-08-27T10:07:42.025,done,awal,LINE,,0.000000,0.000000,190.000000,385.000000,345.000000,185.000000,385.000000,345.000000,-5.000000,516.986460,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,29,2026-08-27T10:07:42.149,2026-08-27T10:07:43.061,done,awal,ACTION_GOTO,DOWN,385.000000,345.000000,185.000000,385.000000,345.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,30,2026-08-27T10:07:44.059,2026-08-27T10:07:45.068,done,awal,ACTION_GOTO,UP,385.000000,345.000000,210.000000,385.000000,345.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,31,2026-08-27T10:07:45.078,2026-08-27T10:07:52.391,done,awal,LINE,,385.000000,345.000000,185.000000,0.000000,0.000000,190.000000,-385.000000,-345.000000,5.000000,516.986460,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,32,2026-08-27T10:07:52.568,2026-08-27T10:07:53.474,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T10:05:34.216,2026-08-27T10:08:12.039,completed,off,157.826577,5868.747844,33,2026-08-27T10:07:54.521,2026-08-27T10:07:55.691,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
