run_started_at,run_finished_at,run_status,cycle_mode,total_time_s,total_distance_mm,segment_index,queued_at,done_at,segment_status,pass_label,mode,action_label,start_x_mm,start_y_mm,start_z_mm,end_x_mm,end_y_mm,end_z_mm,dx_mm,dy_mm,dz_mm,distance_mm,arc_center_x_mm,arc_center_y_mm,arc_sweep_deg
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,1,2026-08-27T13:12:03.238,2026-08-27T13:12:07.459,done,awal,LINE,,0.000000,0.000000,0.000000,0.000000,0.000000,190.000000,0.000000,0.000000,190.000000,190.000000,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,2,2026-08-27T13:12:07.593,2026-08-27T13:12:08.486,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,3,2026-08-27T13:12:09.512,2026-08-27T13:12:10.548,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,4,2026-08-27T13:12:10.553,2026-08-27T13:12:21.894,done,awal,LINE,,0.000000,0.000000,190.000000,385.000000,105.000000,185.000000,385.000000,105.000000,-5.000000,399.092721,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,5,2026-08-27T13:12:22.001,2026-08-27T13:12:23.013,done,awal,ACTION_GOTO,DOWN,385.000000,105.000000,185.000000,385.000000,105.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,6,2026-08-27T13:12:24.012,2026-08-27T13:12:25.023,done,awal,ACTION_GOTO,UP,385.000000,105.000000,210.000000,385.000000,105.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,7,2026-08-27T13:12:25.026,2026-08-27T13:12:32.362,done,awal,LINE,,385.000000,105.000000,185.000000,0.000000,0.000000,190.000000,-385.000000,-105.000000,5.000000,399.092721,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,8,2026-08-27T13:12:32.497,2026-08-27T13:12:33.399,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,9,2026-08-27T13:12:34.424,2026-08-27T13:12:35.497,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,10,2026-08-27T13:12:35.505,2026-08-27T13:12:46.983,done,awal,LINE,,0.000000,0.000000,190.000000,385.000000,165.000000,185.000000,385.000000,165.000000,-5.000000,418.897362,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,11,2026-08-27T13:12:47.116,2026-08-27T13:12:48.097,done,awal,ACTION_GOTO,DOWN,385.000000,165.000000,185.000000,385.000000,165.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,12,2026-08-27T13:12:49.108,2026-08-27T13:12:50.087,done,awal,ACTION_GOTO,UP,385.000000,165.000000,210.000000,385.000000,165.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,13,2026-08-27T13:12:50.095,2026-08-27T13:12:57.078,done,awal,LINE,,385.000000,165.000000,185.000000,0.000000,0.000000,190.000000,-385.000000,-165.000000,5.000000,418.897362,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,14,2026-08-27T13:12:57.215,2026-08-27T13:12:58.222,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T13:12:02.071,2026-08-27T13:14:37.657,completed,off,155.585945,5868.747844,15,2026-08-27T13:12:59.254,2026-08-27T13:13:00.345,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
