run_started_at,run_finished_at,run_status,cycle_mode,total_time_s,total_distance_mm,segment_index,queued_at,done_at,segment_status,pass_label,mode,action_label,start_x_mm,start_y_mm,start_z_mm,end_x_mm,end_y_mm,end_z_mm,dx_mm,dy_mm,dz_mm,distance_mm,arc_center_x_mm,arc_center_y_mm,arc_sweep_deg
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,1,2026-08-26T13:52:53.609,2026-08-26T13:52:57.879,done,awal,LINE,,0.000000,0.000000,-0.071429,0.000000,0.000000,190.000000,0.000000,0.000000,190.071429,190.071429,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,2,2026-08-26T13:52:58.088,2026-08-26T13:52:59.015,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,3,2026-08-26T13:53:00.240,2026-08-26T13:53:01.387,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,4,2026-08-26T13:53:01.395,2026-08-26T13:53:13.857,done,awal,LINE,,0.000000,0.000000,190.000000,380.000000,105.000000,185.000000,380.000000,105.000000,-5.000000,394.271480,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,5,2026-08-26T13:53:14.025,2026-08-26T13:53:14.874,done,awal,ACTION_GOTO,DOWN,380.000000,105.000000,185.000000,380.000000,105.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,6,2026-08-26T13:53:15.887,2026-08-26T13:53:17.089,done,awal,ACTION_GOTO,UP,380.000000,105.000000,210.000000,380.000000,105.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,7,2026-08-26T13:53:17.098,2026-08-26T13:53:24.321,done,awal,LINE,,380.000000,105.000000,185.000000,0.000000,0.000000,190.000000,-380.000000,-105.000000,5.000000,394.271480,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,8,2026-08-26T13:53:24.446,2026-08-26T13:53:25.354,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,9,2026-08-26T13:53:26.383,2026-08-26T13:53:27.416,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,10,2026-08-26T13:53:27.433,2026-08-26T13:53:40.533,done,awal,LINE,,0.000000,0.000000,190.000000,385.000000,165.000000,185.000000,385.000000,165.000000,-5.000000,418.897362,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,11,2026-08-26T13:53:40.895,2026-08-26T13:53:42.226,done,awal,ACTION_GOTO,DOWN,385.000000,165.000000,185.000000,385.000000,165.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-26T13:52:51.984,2026-08-26T13:55:32.231,completed,off,160.244178,5855.563745,12,2026-08-26T13:53:43.235,2026-08-26T13:53:44.246,done,awal,ACTION_GOTO,UP,385.000000,165.000000,210.000000,385.000000,165.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
