training_started_at,segment,epoch,role,rank,candidate_id,fitness,objective_j,distance_mm,valid,control_point_index,x_mm,y_mm,z_mm
20260824_115654,S3A,1,firehawk,1,firehawk_01,0.001234,810.464865,810.464865,1,1,0.000000,0.000000,0.000000
20260824_115654,S3A,1,firehawk,1,firehawk_01,0.001234,810.464865,810.464865,1,2,0.000000,0.000000,0.000000
20260824_115654,S3A,1,firehawk,1,firehawk_01,0.001234,810.464865,810.464865,1,3,0.000000,0.000000,0.000000
20260824_115654,S3A,1,firehawk,1,firehawk_01,0.001234,810.464865,810.464865,1,4,64.598381,38.409848,0.000000
20260824_115654,S3A,1,firehawk,1,firehawk_01,0.001234,810.464865,810.464865,1,5,142.001007,84.433031,0.000000
20260824_115654,S3A,1,firehawk,1,firehawk_01,0.001234,810.464865,810.464865,1,6,219.403634,130.456215,0.000000
20260824_115654,S3A,1,firehawk,1,firehawk_01,0.001234,810.464865,810.464865,1,7,296.806260,176.479398,0.000000
20260824_115654,S3A,1,firehawk,1,firehawk_01,0.001234,810.464865,810.464865,1,8,370.000000,220.000000,0.000000
20260824_115654,S3A,1,firehawk,2,firehawk_02,0.001136,879.981671,879.981671,1,1,4.447601,29.697038,0.000000
20260824_115654,S3A,1,firehawk,2,firehawk_02,0.001136,879.981671,879.981671,1,2,4.303657,0.000000,0.000000
20260824_115654,S3A,1,firehawk,2,firehawk_02,0.001136,879.981671,879.981671,1,3,0.000000,0.000000,0.000000
20260824_115654,S3A,1,firehawk,2,firehawk_02,0.001136,879.981671,879.981671,1,4,62.947300,8.489163,4.596681
20260824_115654,S3A,1,firehawk,2,firehawk_02,0.001136,879.981671,879.981671,1,5,146.252560,91.900955,13.593068
20260824_115654,S3A,1,firehawk,2,firehawk_02,0.001136,879.981671,879.981671,1,6,188.038122,118.358628,21.068845
20260824_115654,S3A,1,firehawk,2,firehawk_02,0.001136,879.981671,879.981671,1,7,334.681562,200.106109,5.658604
20260824_115654,S3A,1,firehawk,2,firehawk_02,0.001136,879.981671,879.981671,1,8,405.330501,222.761763,15.326708
20260824_115654,S3A,1,firehawk,3,firehawk_03,0.000949,1053.898083,1053.898083,1,1,0.000000,33.960860,22.866539
20260824_115654,S3A,1,firehawk,3,firehawk_03,0.000949,1053.898083,1053.898083,1,2,0.000000,0.000000,0.000000
20260824_115654,S3A,1,firehawk,3,firehawk_03,0.000949,1053.898083,1053.898083,1,3,22.355941,0.000000,19.875452
20260824_115654,S3A,1,firehawk,3,firehawk_03,0.000949,1053.898083,1053.898083,1,4,80.677244,28.843962,26.085143
20260824_115654,S3A,1,firehawk,3,firehawk_03,0.000949,1053.898083,1053.898083,1,5,134.480731,68.923001,27.319222
20260824_115654,S3A,1,firehawk,3,firehawk_03,0.000949,1053.898083,1053.898083,1,6,223.125599,152.617467,0.000000
20260824_115654,S3A,1,firehawk,3,firehawk_03,0.000949,1053.898083,1053.898083,1,7,292.382407,209.748895,34.939371
20260824_115654,S3A,1,firehawk,3,firehawk_03,0.000949,1053.898083,1053.898083,1,8,355.923512,225.751814,22.422466
20260824_115654,S3A,1,firehawk,4,firehawk_04,0.000769,1301.071908,1301.071908,1,1,8.341070,0.000000,0.000000
20260824_115654,S3A,1,firehawk,4,firehawk_04,0.000769,1301.071908,1301.071908,1,2,0.000000,23.246480,28.831276
20260824_115654,S3A,1,firehawk,4,firehawk_04,0.000769,1301.071908,1301.071908,1,3,0.000000,0.000000,22.420429
20260824_115654,S3A,1,firehawk,4,firehawk_04,0.000769,1301.071908,1301.071908,1,4,88.523116,41.659170,0.000000
20260824_115654,S3A,1,firehawk,4,firehawk_04,0.000769,1301.071908,1301.071908,1,5,157.508843,49.618332,0.000000
20260824_115654,S3A,1,firehawk,4,firehawk_04,0.000769,1301.071908,1301.071908,1,6,233.291938,139.126575,18.427376
20260824_115654,S3A,1,firehawk,4,firehawk_04,0.000769,1301.071908,1301.071908,1,7,312.459353,173.129475,14.200142
20260824_115654,S3A,1,firehawk,4,firehawk_04,0.000769,1301.071908,1301.071908,1,8,365.775633,189.187208,0.000000
20260824_115654,S3A,1,firehawk,5,firehawk_05,0.000726,1377.745177,1377.745177,1,1,0.000000,15.259500,23.081107
20260824_115654,S3A,1,firehawk,5,firehawk_05,0.000726,1377.745177,1377.745177,1,2,0.000000,16.341811,0.000000
20260824_115654,S3A,1,firehawk,5,firehawk_05,0.000726,1377.745177,1377.745177,1,3,0.000000,13.980040,0.000000
20260824_115654,S3A,1,firehawk,5,firehawk_05,0.000726,1377.745177,1377.745177,1,4,55.698858,12.654887,23.640787
20260824_115654,S3A,1,firehawk,5,firehawk_05,0.000726,1377.745177,1377.745177,1,5,159.906409,100.347650,27.045522
20260824_115654,S3A,1,firehawk,5,firehawk_05,0.000726,1377.745177,1377.745177,1,6,206.496204,110.097884,0.000000
20260824_115654,S3A,1,firehawk,5,firehawk_05,0.000726,1377.745177,1377.745177,1,7,266.496767,173.458417,0.000000
20260824_115654,S3A,1,firehawk,5,firehawk_05,0.000726,1377.745177,1377.745177,1,8,411.413287,225.262231,0.000000
20260824_115654,S3A,1,firehawk,6,firehawk_06,0.000001,1000966.151436,966.151436,0,1,27.031106,2.012035,36.940646
20260824_115654,S3A,1,firehawk,6,firehawk_06,0.000001,1000966.151436,966.151436,0,2,19.741369,0.000000,24.578112
20260824_115654,S3A,1,firehawk,6,firehawk_06,0.000001,1000966.151436,966.151436,0,3,0.000000,0.000000,16.642243
20260824_115654,S3A,1,firehawk,6,firehawk_06,0.000001,1000966.151436,966.151436,0,4,87.908503,20.678077,0.000000
20260824_115654,S3A,1,firehawk,6,firehawk_06,0.000001,1000966.151436,966.151436,0,5,128.384951,67.968273,6.991593
20260824_115654,S3A,1,firehawk,6,firehawk_06,0.000001,1000966.151436,966.151436,0,6,232.060799,148.926545,0.000000
20260824_115654,S3A,1,firehawk,6,firehawk_06,0.000001,1000966.151436,966.151436,0,7,317.621837,154.173075,30.265141
20260824_115654,S3A,1,firehawk,6,firehawk_06,0.000001,1000966.151436,966.151436,0,8,386.663781,198.720926,11.558770
20260824_115654,S3A,1,prey,7,prey_07,0.000001,1001062.085662,1062.085662,0,1,0.000000,0.000000,27.850423
20260824_115654,S3A,1,prey,7,prey_07,0.000001,1001062.085662,1062.085662,0,2,0.000000,41.305630,0.000000
20260824_115654,S3A,1,prey,7,prey_07,0.000001,1001062.085662,1062.085662,0,3,22.230298,0.000000,2.276341
20260824_115654,S3A,1,prey,7,prey_07,0.000001,1001062.085662,1062.085662,0,4,78.981291,13.920998,8.677514
20260824_115654,S3A,1,prey,7,prey_07,0.000001,1001062.085662,1062.085662,0,5,118.462764,56.603446,25.139713
20260824_115654,S3A,1,prey,7,prey_07,0.000001,1001062.085662,1062.085662,0,6,198.781566,106.882273,0.000000
20260824_115654,S3A,1,prey,7,prey_07,0.000001,1001062.085662,1062.085662,0,7,307.520216,198.634521,24.198630
20260824_115654,S3A,1,prey,7,prey_07,0.000001,1001062.085662,1062.085662,0,8,361.172652,240.026606,25.228196
20260824_115654,S3A,1,prey,8,prey_08,0.000001,1001072.426769,1072.426769,0,1,0.000000,0.000000,35.028176
20260824_115654,S3A,1,prey,8,prey_08,0.000001,1001072.426769,1072.426769,0,2,0.000000,0.874061,0.000000
20260824_115654,S3A,1,prey,8,prey_08,0.000001,1001072.426769,1072.426769,0,3,0.000000,22.964157,32.773261
20260824_115654,S3A,1,prey,8,prey_08,0.000001,1001072.426769,1072.426769,0,4,69.024290,57.501493,24.652002
20260824_115654,S3A,1,prey,8,prey_08,0.000001,1001072.426769,1072.426769,0,5,133.493366,102.029170,0.000000
20260824_115654,S3A,1,prey,8,prey_08,0.000001,1001072.426769,1072.426769,0,6,195.855104,165.099284,0.000000
20260824_115654,S3A,1,prey,8,prey_08,0.000001,1001072.426769,1072.426769,0,7,290.765896,210.851986,0.000000
20260824_115654,S3A,1,prey,8,prey_08,0.000001,1001072.426769,1072.426769,0,8,345.773715,189.916325,0.000000
20260824_115654,S3A,1,prey,9,prey_09,0.000001,1001084.897808,1084.897808,0,1,0.000000,37.384398,30.463941
20260824_115654,S3A,1,prey,9,prey_09,0.000001,1001084.897808,1084.897808,0,2,14.656064,0.000000,15.726871
20260824_115654,S3A,1,prey,9,prey_09,0.000001,1001084.897808,1084.897808,0,3,0.000000,0.000000,0.000000
20260824_115654,S3A,1,prey,9,prey_09,0.000001,1001084.897808,1084.897808,0,4,76.256952,0.000000,17.891718
20260824_115654,S3A,1,prey,9,prey_09,0.000001,1001084.897808,1084.897808,0,5,104.541227,71.971174,0.000000
20260824_115654,S3A,1,prey,9,prey_09,0.000001,1001084.897808,1084.897808,0,6,241.388003,127.349038,0.000000
20260824_115654,S3A,1,prey,9,prey_09,0.000001,1001084.897808,1084.897808,0,7,269.175992,180.772517,0.000000
20260824_115654,S3A,1,prey,9,prey_09,0.000001,1001084.897808,1084.897808,0,8,346.896250,253.421303,25.009205
20260824_115654,S3A,1,prey,10,prey_10,0.000001,1001096.871001,1096.871001,0,1,12.624333,43.008525,0.000000
20260824_115654,S3A,1,prey,10,prey_10,0.000001,1001096.871001,1096.871001,0,2,0.000000,19.778589,0.000000
20260824_115654,S3A,1,prey,10,prey_10,0.000001,1001096.871001,1096.871001,0,3,0.000000,0.000000,10.322611
20260824_115654,S3A,1,prey,10,prey_10,0.000001,1001096.871001,1096.871001,0,4,93.466105,42.607723,25.478624
20260824_115654,S3A,1,prey,10,prey_10,0.000001,1001096.871001,1096.871001,0,5,151.756480,101.647535,27.306977
20260824_115654,S3A,1,prey,10,prey_10,0.000001,1001096.871001,1096.871001,0,6,199.315679,140.232584,39.531670
20260824_115654,S3A,1,prey,10,prey_10,0.000001,1001096.871001,1096.871001,0,7,294.906008,161.256263,15.738078
20260824_115654,S3A,1,prey,10,prey_10,0.000001,1001096.871001,1096.871001,0,8,381.572382,207.085932,9.995629
20260824_115654,S3A,1,prey,11,prey_11,0.000001,1001100.669019,1100.669019,0,1,17.163696,0.000000,32.415716
20260824_115654,S3A,1,prey,11,prey_11,0.000001,1001100.669019,1100.669019,0,2,0.000000,0.000000,0.000000
20260824_115654,S3A,1,prey,11,prey_11,0.000001,1001100.669019,1100.669019,0,3,0.000000,0.000000,1.663607
20260824_115654,S3A,1,prey,11,prey_11,0.000001,1001100.669019,1100.669019,0,4,80.988131,15.598194,0.000000
20260824_115654,S3A,1,prey,11,prey_11,0.000001,1001100.669019,1100.669019,0,5,139.527775,53.221209,24.784821
20260824_115654,S3A,1,prey,11,prey_11,0.000001,1001100.669019,1100.669019,0,6,210.835310,166.685907,0.000000
20260824_115654,S3A,1,prey,11,prey_11,0.000001,1001100.669019,1100.669019,0,7,284.504613,205.504185,0.000000
20260824_115654,S3A,1,prey,11,prey_11,0.000001,1001100.669019,1100.669019,0,8,358.441522,246.506777,7.967884
20260824_115654,S3A,1,prey,12,prey_12,0.000001,1001126.067670,1126.067670,0,1,2.750593,0.000000,0.000000
20260824_115654,S3A,1,prey,12,prey_12,0.000001,1001126.067670,1126.067670,0,2,0.000000,1.084371,0.000000
20260824_115654,S3A,1,prey,12,prey_12,0.000001,1001126.067670,1126.067670,0,3,0.000000,7.169039,35.925812
20260824_115654,S3A,1,prey,12,prey_12,0.000001,1001126.067670,1126.067670,0,4,64.848985,74.220069,27.825484
20260824_115654,S3A,1,prey,12,prey_12,0.000001,1001126.067670,1126.067670,0,5,119.976834,56.876474,31.297328
20260824_115654,S3A,1,prey,12,prey_12,0.000001,1001126.067670,1126.067670,0,6,239.547466,111.309525,6.106215
20260824_115654,S3A,1,prey,12,prey_12,0.000001,1001126.067670,1126.067670,0,7,258.372274,161.001176,27.977742
20260824_115654,S3A,1,prey,12,prey_12,0.000001,1001126.067670,1126.067670,0,8,334.140933,201.917169,8.954853
20260824_115654,S3A,1,prey,13,prey_13,0.000001,1001162.532284,1162.532284,0,1,0.000000,22.600374,20.519414
20260824_115654,S3A,1,prey,13,prey_13,0.000001,1001162.532284,1162.532284,0,2,26.428698,0.000000,0.000000
20260824_115654,S3A,1,prey,13,prey_13,0.000001,1001162.532284,1162.532284,0,3,0.000000,34.471735,0.000000
20260824_115654,S3A,1,prey,13,prey_13,0.000001,1001162.532284,1162.532284,0,4,49.818930,74.213398,0.525044
20260824_115654,S3A,1,prey,13,prey_13,0.000001,1001162.532284,1162.532284,0,5,147.543170,99.789080,0.000000
20260824_115654,S3A,1,prey,13,prey_13,0.000001,1001162.532284,1162.532284,0,6,204.584363,109.316061,1.178938
20260824_115654,S3A,1,prey,13,prey_13,0.000001,1001162.532284,1162.532284,0,7,275.035424,167.936755,32.106488
20260824_115654,S3A,1,prey,13,prey_13,0.000001,1001162.532284,1162.532284,0,8,363.678410,231.276628,0.000000
20260824_115654,S3A,1,prey,14,prey_14,0.000001,1001168.899809,1168.899809,0,1,11.933249,15.159464,0.000000
20260824_115654,S3A,1,prey,14,prey_14,0.000001,1001168.899809,1168.899809,0,2,0.000000,25.944338,0.000000
20260824_115654,S3A,1,prey,14,prey_14,0.000001,1001168.899809,1168.899809,0,3,0.000000,36.896730,0.000000
20260824_115654,S3A,1,prey,14,prey_14,0.000001,1001168.899809,1168.899809,0,4,56.217758,28.701411,0.000000
20260824_115654,S3A,1,prey,14,prey_14,0.000001,1001168.899809,1168.899809,0,5,132.038674,78.125067,16.758121
20260824_115654,S3A,1,prey,14,prey_14,0.000001,1001168.899809,1168.899809,0,6,215.275012,165.182968,0.000000
20260824_115654,S3A,1,prey,14,prey_14,0.000001,1001168.899809,1168.899809,0,7,295.686698,186.223723,17.992678
20260824_115654,S3A,1,prey,14,prey_14,0.000001,1001168.899809,1168.899809,0,8,346.548281,213.693805,17.995711
20260824_115654,S3A,1,prey,15,prey_15,0.000001,1001178.897309,1178.897309,0,1,0.000000,6.169860,0.000000
20260824_115654,S3A,1,prey,15,prey_15,0.000001,1001178.897309,1178.897309,0,2,4.766263,0.000000,0.000000
20260824_115654,S3A,1,prey,15,prey_15,0.000001,1001178.897309,1178.897309,0,3,0.000000,0.316707,0.000000
20260824_115654,S3A,1,prey,15,prey_15,0.000001,1001178.897309,1178.897309,0,4,58.715400,70.692591,36.238684
20260824_115654,S3A,1,prey,15,prey_15,0.000001,1001178.897309,1178.897309,0,5,111.380706,49.314846,17.817742
20260824_115654,S3A,1,prey,15,prey_15,0.000001,1001178.897309,1178.897309,0,6,237.772474,117.980892,0.000000
20260824_115654,S3A,1,prey,15,prey_15,0.000001,1001178.897309,1178.897309,0,7,266.000352,199.262027,16.806739
20260824_115654,S3A,1,prey,15,prey_15,0.000001,1001178.897309,1178.897309,0,8,369.816323,176.756068,12.361908
20260824_115654,S3A,1,prey,16,prey_16,0.000001,1001202.411708,1202.411708,0,1,22.850934,2.828530,0.000000
20260824_115654,S3A,1,prey,16,prey_16,0.000001,1001202.411708,1202.411708,0,2,0.000000,7.999839,0.000000
20260824_115654,S3A,1,prey,16,prey_16,0.000001,1001202.411708,1202.411708,0,3,0.000000,8.381422,10.173434
20260824_115654,S3A,1,prey,16,prey_16,0.000001,1001202.411708,1202.411708,0,4,40.998686,66.222524,16.619797
20260824_115654,S3A,1,prey,16,prey_16,0.000001,1001202.411708,1202.411708,0,5,158.801300,114.365099,15.938418
20260824_115654,S3A,1,prey,16,prey_16,0.000001,1001202.411708,1202.411708,0,6,231.609498,96.786737,28.077373
20260824_115654,S3A,1,prey,16,prey_16,0.000001,1001202.411708,1202.411708,0,7,317.222822,214.202288,0.000000
20260824_115654,S3A,1,prey,16,prey_16,0.000001,1001202.411708,1202.411708,0,8,355.891417,233.550586,0.450688
