training_started_at,segment,epoch,role,rank,candidate_id,fitness,objective_j,distance_mm,valid,control_point_index,x_mm,y_mm,z_mm
20260824_115654,S4A,1,firehawk,1,firehawk_01,0.001185,844.004310,844.004310,1,1,0.000000,0.000000,0.000000
20260824_115654,S4A,1,firehawk,1,firehawk_01,0.001185,844.004310,844.004310,1,2,0.000000,0.000000,0.000000
20260824_115654,S4A,1,firehawk,1,firehawk_01,0.001185,844.004310,844.004310,1,3,0.000000,0.000000,0.000000
20260824_115654,S4A,1,firehawk,1,firehawk_01,0.001185,844.004310,844.004310,1,4,68.843897,52.098084,0.000000
20260824_115654,S4A,1,firehawk,1,firehawk_01,0.001185,844.004310,844.004310,1,5,143.623278,108.687886,0.000000
20260824_115654,S4A,1,firehawk,1,firehawk_01,0.001185,844.004310,844.004310,1,6,218.402658,165.277687,0.000000
20260824_115654,S4A,1,firehawk,1,firehawk_01,0.001185,844.004310,844.004310,1,7,293.182039,221.867489,0.000000
20260824_115654,S4A,1,firehawk,1,firehawk_01,0.001185,844.004310,844.004310,1,8,370.000000,280.000000,0.000000
20260824_115654,S4A,1,firehawk,2,firehawk_02,0.001134,882.178638,882.178638,1,1,0.000000,0.000000,0.000000
20260824_115654,S4A,1,firehawk,2,firehawk_02,0.001134,882.178638,882.178638,1,2,2.040253,25.312008,4.985536
20260824_115654,S4A,1,firehawk,2,firehawk_02,0.001134,882.178638,882.178638,1,3,22.853954,0.000000,0.000000
20260824_115654,S4A,1,firehawk,2,firehawk_02,0.001134,882.178638,882.178638,1,4,86.966975,47.628487,24.021587
20260824_115654,S4A,1,firehawk,2,firehawk_02,0.001134,882.178638,882.178638,1,5,160.544294,101.325705,0.000000
20260824_115654,S4A,1,firehawk,2,firehawk_02,0.001134,882.178638,882.178638,1,6,202.287061,159.065659,25.503147
20260824_115654,S4A,1,firehawk,2,firehawk_02,0.001134,882.178638,882.178638,1,7,272.167182,246.912016,0.000000
