training_started_at,segment,epoch,role,rank,candidate_id,fitness,objective_j,distance_mm,valid,control_point_index,x_mm,y_mm,z_mm
20260824_115654,S2B,1,firehawk,1,firehawk_01,0.001156,865.306209,865.306209,1,1,370.000000,160.000000,0.000000
20260824_115654,S2B,1,firehawk,1,firehawk_01,0.001156,865.306209,865.306209,1,2,370.000000,160.000000,0.000000
20260824_115654,S2B,1,firehawk,1,firehawk_01,0.001156,865.306209,865.306209,1,3,370.000000,160.000000,0.000000
20260824_115654,S2B,1,firehawk,1,firehawk_01,0.001156,865.306209,865.306209,1,4,300.208327,129.819817,0.000000
20260824_115654,S2B,1,firehawk,1,firehawk_01,0.001156,865.306209,865.306209,1,5,220.343252,95.283569,0.000000
20260824_115654,S2B,1,firehawk,1,firehawk_01,0.001156,865.306209,865.306209,1,6,140.478177,60.747320,0.000000
20260824_115654,S2B,1,firehawk,1,firehawk_01,0.001156,865.306209,865.306209,1,7,60.613103,26.211071,0.000000
20260824_115654,S2B,1,firehawk,1,firehawk_01,0.001156,865.306209,865.306209,1,8,0.000000,0.000000,0.000000
20260824_115654,S2B,1,firehawk,2,firehawk_02,0.001143,874.789187,874.789187,1,1,339.207270,172.892263,35.414300
20260824_115654,S2B,1,firehawk,2,firehawk_02,0.001143,874.789187,874.789187,1,2,377.927329,171.530995,0.000000
20260824_115654,S2B,1,firehawk,2,firehawk_02,0.001143,874.789187,874.789187,1,3,375.122684,186.818014,23.588114
20260824_115654,S2B,1,firehawk,2,firehawk_02,0.001143,874.789187,874.789187,1,4,304.087363,119.991799,0.000000
20260824_115654,S2B,1,firehawk,2,firehawk_02,0.001143,874.789187,874.789187,1,5,201.287930,113.382190,0.000000
20260824_115654,S2B,1,firehawk,2,firehawk_02,0.001143,874.789187,874.789187,1,6,147.809078,107.554594,6.378529
20260824_115654,S2B,1,firehawk,2,firehawk_02,0.001143,874.789187,874.789187,1,7,57.946388,59.381398,20.131452
20260824_115654,S2B,1,firehawk,2,firehawk_02,0.001143,874.789187,874.789187,1,8,0.000000,0.000000,0.000000
20260824_115654,S2B,1,firehawk,3,firehawk_03,0.000966,1035.183291,1035.183291,1,1,385.426711,151.047513,32.389149
20260824_115654,S2B,1,firehawk,3,firehawk_03,0.000966,1035.183291,1035.183291,1,2,388.757266,125.714533,12.948624
20260824_115654,S2B,1,firehawk,3,firehawk_03,0.000966,1035.183291,1035.183291,1,3,397.748836,187.100820,0.000000
20260824_115654,S2B,1,firehawk,3,firehawk_03,0.000966,1035.183291,1035.183291,1,4,295.454539,109.563666,32.736275
20260824_115654,S2B,1,firehawk,3,firehawk_03,0.000966,1035.183291,1035.183291,1,5,192.210454,77.906889,0.000000
20260824_115654,S2B,1,firehawk,3,firehawk_03,0.000966,1035.183291,1035.183291,1,6,158.011001,87.553782,0.000000
20260824_115654,S2B,1,firehawk,3,firehawk_03,0.000966,1035.183291,1035.183291,1,7,71.910769,41.535285,33.744101
20260824_115654,S2B,1,firehawk,3,firehawk_03,0.000966,1035.183291,1035.183291,1,8,28.916754,2.130309,40.532188
20260824_115654,S2B,1,firehawk,4,firehawk_04,0.000939,1065.109865,1065.109865,1,1,341.224956,136.744930,18.355659
20260824_115654,S2B,1,firehawk,4,firehawk_04,0.000939,1065.109865,1065.109865,1,2,386.991686,176.255162,0.000000
20260824_115654,S2B,1,firehawk,4,firehawk_04,0.000939,1065.109865,1065.109865,1,3,355.063996,194.537246,0.000000
20260824_115654,S2B,1,firehawk,4,firehawk_04,0.000939,1065.109865,1065.109865,1,4,283.118612,158.401524,0.000000
20260824_115654,S2B,1,firehawk,4,firehawk_04,0.000939,1065.109865,1065.109865,1,5,185.521920,89.718091,0.000000
