training_started_at,segment,epoch,role,rank,candidate_id,fitness,objective_j,distance_mm,valid,control_point_index,x_mm,y_mm,z_mm
20260824_115654,S5A,1,firehawk,6,firehawk_06,0.000001,1001141.391041,1141.391041,0,4,80.857610,23.278985,15.624902
20260824_115654,S5A,1,firehawk,6,firehawk_06,0.000001,1001141.391041,1141.391041,0,5,174.815856,132.010805,15.777066
20260824_115654,S5A,1,firehawk,6,firehawk_06,0.000001,1001141.391041,1141.391041,0,6,242.458433,220.379658,1.712365
20260824_115654,S5A,1,firehawk,6,firehawk_06,0.000001,1001141.391041,1141.391041,0,7,310.616844,269.775200,0.000000
20260824_115654,S5A,1,firehawk,6,firehawk_06,0.000001,1001141.391041,1141.391041,0,8,342.998760,314.809108,0.000000
20260824_115654,S5A,1,prey,7,prey_07,0.000001,1001154.833862,1154.833862,0,1,18.110892,0.000000,35.566608
20260824_115654,S5A,1,prey,7,prey_07,0.000001,1001154.833862,1154.833862,0,2,0.000000,35.302211,0.000000
20260824_115654,S5A,1,prey,7,prey_07,0.000001,1001154.833862,1154.833862,0,3,4.492043,10.314716,0.000000
20260824_115654,S5A,1,prey,7,prey_07,0.000001,1001154.833862,1154.833862,0,4,60.280728,72.849308,0.000000
20260824_115654,S5A,1,prey,7,prey_07,0.000001,1001154.833862,1154.833862,0,5,174.513872,120.325479,0.000000
20260824_115654,S5A,1,prey,7,prey_07,0.000001,1001154.833862,1154.833862,0,6,182.612662,211.130330,0.000000
20260824_115654,S5A,1,prey,7,prey_07,0.000001,1001154.833862,1154.833862,0,7,266.930060,273.316790,9.224468
20260824_115654,S5A,1,prey,7,prey_07,0.000001,1001154.833862,1154.833862,0,8,358.381534,356.242306,0.000000
20260824_115654,S5A,1,prey,8,prey_08,0.000001,1001191.278254,1191.278254,0,1,1.411705,19.946581,0.000000
20260824_115654,S5A,1,prey,8,prey_08,0.000001,1001191.278254,1191.278254,0,2,0.000000,8.708273,0.000000
20260824_115654,S5A,1,prey,8,prey_08,0.000001,1001191.278254,1191.278254,0,3,26.405141,0.000000,0.000000
20260824_115654,S5A,1,prey,8,prey_08,0.000001,1001191.278254,1191.278254,0,4,50.703612,90.447860,0.000000
20260824_115654,S5A,1,prey,8,prey_08,0.000001,1001191.278254,1191.278254,0,5,163.468603,114.532339,0.000000
20260824_115654,S5A,1,prey,8,prey_08,0.000001,1001191.278254,1191.278254,0,6,240.423808,176.159470,12.977906
20260824_115654,S5A,1,prey,8,prey_08,0.000001,1001191.278254,1191.278254,0,7,276.873180,276.414993,37.868432
20260824_115654,S5A,1,prey,8,prey_08,0.000001,1001191.278254,1191.278254,0,8,355.244470,348.294369,38.848312
20260824_115654,S5A,1,prey,9,prey_09,0.000001,1001251.827718,1251.827718,0,1,13.332746,26.859728,22.417222
20260824_115654,S5A,1,prey,9,prey_09,0.000001,1001251.827718,1251.827718,0,2,0.000000,33.124401,0.504994
20260824_115654,S5A,1,prey,9,prey_09,0.000001,1001251.827718,1251.827718,0,3,23.768488,0.000000,24.942790
20260824_115654,S5A,1,prey,9,prey_09,0.000001,1001251.827718,1251.827718,0,4,93.170802,26.585760,19.491771
20260824_115654,S5A,1,prey,9,prey_09,0.000001,1001251.827718,1251.827718,0,5,181.976449,117.561667,25.494540
20260824_115654,S5A,1,prey,9,prey_09,0.000001,1001251.827718,1251.827718,0,6,193.814764,237.165875,18.678204
20260824_115654,S5A,1,prey,9,prey_09,0.000001,1001251.827718,1251.827718,0,7,327.919020,263.316379,26.038800
20260824_115654,S5A,1,prey,9,prey_09,0.000001,1001251.827718,1251.827718,0,8,362.543053,304.618794,0.000000
20260824_115654,S5A,1,prey,10,prey_10,0.000001,1001257.432482,1257.432482,0,1,0.000000,0.000000,0.000000
20260824_115654,S5A,1,prey,10,prey_10,0.000001,1001257.432482,1257.432482,0,2,32.508976,0.000000,0.000000
20260824_115654,S5A,1,prey,10,prey_10,0.000001,1001257.432482,1257.432482,0,3,25.961103,0.000000,17.768252
20260824_115654,S5A,1,prey,10,prey_10,0.000001,1001257.432482,1257.432482,0,4,88.547830,29.642895,19.644887
20260824_115654,S5A,1,prey,10,prey_10,0.000001,1001257.432482,1257.432482,0,5,160.536555,173.025638,24.206711
20260824_115654,S5A,1,prey,10,prey_10,0.000001,1001257.432482,1257.432482,0,6,218.999166,221.107773,23.786310
20260824_115654,S5A,1,prey,10,prey_10,0.000001,1001257.432482,1257.432482,0,7,314.992946,263.047267,41.567053
20260824_115654,S5A,1,prey,10,prey_10,0.000001,1001257.432482,1257.432482,0,8,369.025080,352.215522,24.899437
20260824_115654,S5A,1,prey,11,prey_11,0.000001,1001266.000515,1266.000515,0,1,0.000000,42.227791,13.015033
20260824_115654,S5A,1,prey,11,prey_11,0.000001,1001266.000515,1266.000515,0,2,21.572087,0.000000,0.000000
20260824_115654,S5A,1,prey,11,prey_11,0.000001,1001266.000515,1266.000515,0,3,9.338254,26.172765,0.000000
20260824_115654,S5A,1,prey,11,prey_11,0.000001,1001266.000515,1266.000515,0,4,115.137569,87.766216,9.796295
20260824_115654,S5A,1,prey,11,prey_11,0.000001,1001266.000515,1266.000515,0,5,137.592172,146.668443,19.517361
20260824_115654,S5A,1,prey,11,prey_11,0.000001,1001266.000515,1266.000515,0,6,246.729468,226.431785,18.603329
20260824_115654,S5A,1,prey,11,prey_11,0.000001,1001266.000515,1266.000515,0,7,302.952212,251.035273,44.122594
20260824_115654,S5A,1,prey,11,prey_11,0.000001,1001266.000515,1266.000515,0,8,378.685622,359.083755,26.824878
20260824_115654,S5A,1,prey,12,prey_12,0.000001,1001268.145499,1268.145499,0,1,0.000000,9.413226,28.532828
