training_started_at,segment,epoch,role,rank,candidate_id,fitness,objective_j,distance_mm,valid,control_point_index,x_mm,y_mm,z_mm
20260824_115654,S6B,1,firehawk,6,firehawk_06,0.000827,1209.305925,1209.305925,1,4,261.786903,319.533980,0.000000
20260824_115654,S6B,1,firehawk,6,firehawk_06,0.000827,1209.305925,1209.305925,1,5,231.345484,280.013922,0.000000
20260824_115654,S6B,1,firehawk,6,firehawk_06,0.000827,1209.305925,1209.305925,1,6,144.258739,140.859861,42.906077
20260824_115654,S6B,1,firehawk,6,firehawk_06,0.000827,1209.305925,1209.305925,1,7,96.502849,71.811111,17.229797
20260824_115654,S6B,1,firehawk,6,firehawk_06,0.000827,1209.305925,1209.305925,1,8,0.000000,0.568637,0.000000
20260824_115654,S6B,1,prey,7,prey_07,0.000821,1218.609839,1218.609839,1,1,386.937634,427.548439,0.429515
20260824_115654,S6B,1,prey,7,prey_07,0.000821,1218.609839,1218.609839,1,2,388.470668,368.584599,0.000000
20260824_115654,S6B,1,prey,7,prey_07,0.000821,1218.609839,1218.609839,1,3,345.866389,373.464841,0.000000
20260824_115654,S6B,1,prey,7,prey_07,0.000821,1218.609839,1218.609839,1,4,254.311959,290.010661,5.981031
20260824_115654,S6B,1,prey,7,prey_07,0.000821,1218.609839,1218.609839,1,5,258.607331,238.689811,24.306087
20260824_115654,S6B,1,prey,7,prey_07,0.000821,1218.609839,1218.609839,1,6,144.559366,148.050362,37.706861
20260824_115654,S6B,1,prey,7,prey_07,0.000821,1218.609839,1218.609839,1,7,67.962204,110.977802,8.143857
20260824_115654,S6B,1,prey,7,prey_07,0.000821,1218.609839,1218.609839,1,8,25.694646,22.501367,7.950578
20260824_115654,S6B,1,prey,8,prey_08,0.000815,1227.174550,1227.174550,1,1,349.063498,410.408045,2.350561
20260824_115654,S6B,1,prey,8,prey_08,0.000815,1227.174550,1227.174550,1,2,400.599109,413.491538,0.000000
20260824_115654,S6B,1,prey,8,prey_08,0.000815,1227.174550,1227.174550,1,3,338.629608,383.212328,0.000000
